업체명,사업자등록번호,주업종,주요 생산품목,소재지,전화번호
커피하우스,7174000462,의료 정밀 광학기기 및 시계 제조업,커피,경상북도 안동시 육사로 333102동 1006호(법흥동 안동강변펠리시아),054-856-4795
 (주) 닛신,2068628968,건설업,신체자세교정기,경기도 양평군 양평읍 중앙로 260국립교통재활병원 2층,031-737-2884
(유)태양,4118141840,사업시설관리 및 사업지원 서비스업,조경식재공사관련용역,전라남도 목포시 통일대로119번길 21,061-282-5346
(주)거원MGM,2108158511,보건업 및 사회복지 서비스업,운송지원업무용역,서울특별시 구로구 공원로 41523호(구로동 현대파크빌),02-990-4600
(주)세미환경,3058607902,제조업|도매 및 소매업,건물청소서비스,대전광역시 대덕구 동심1길 21 2층 (오정동),042-621-5380
(주)신광메디칼,4088614416,전기 가스 증기 및 수도사업|건설업,전동식의료용침대,전남 화순군 화순읍만연로 1201층,061-375-6474
(주)신한국전기공사,3148139058,제조업,전기공사용역,대전광역시 서구 신갈마로209번길 222층,042-537-2227
(주)에이에스피케이,2018199070,건설업,인쇄용필름현상기,서울특별시 중구 퇴계로36가길 94-5(필동2가 1층),02-2278-9874
GS종합공사,6636500101,사업시설관리 및 사업지원 서비스업,창호공사,경기도 포천시 소흘읍 광릉수목원로 1158-11GS종합공사,031-543-8810
대한티에스 주식회사,1438131513,건설업,건물청소서비스,경기도 화성시 기배로43번길 73층 301호,070-4400-0008
도성건설(주),7548601100,그 밖의 제품 제조업,철근콘크리트공사,충청남도 태안군 남면 마검포길 201-8201-8,041-633-6226
딥스원테크 주식회사,2158711153,전문 과학 및 기술 서비스업,칠판,경기도 용인시 처인구 이동읍 서리로 164-19 ,031-333-0101
수인엔지니어링,3012770779,도매 및 소매업,발전및배전설비유지보수,충청북도 청주시 흥덕구 죽천로79번길 22산업용재 유통상가 2단지 202호,043-236-0194
유림산업 주식회사,3018615453,제조업,없음,충청북도 청주시 흥덕구 풍년로96번길 30가경동(가경동),043-231-9788
정인당인쇄사,6081256752,사업시설관리 및 사업지원 서비스업,인쇄 상패 도장,경상남도 창원시 마산합포구 동서북5길 1(서성동)정인당인쇄사,055-243-7324
주식회사 나눔씨에스,1198616590,제조업,건물청소서비스,경기도 하남시 미사강변동로 85506호 (힐스테이트 망월동),02-872-0401
크린필터주식회사,4778600543,도매 및 소매업,산업용필터,경기도 양주시 광적면 부흥로 847504505506507호(양주테크노시티),031-879-8490
태풍건업,2110496216,건설업,공구및 안전용품 판매,서울특별시 동대문구 왕산로9길 191층 (용두동),02-953-8899
(주)힐텍,6108602643,그 밖의 기계 및 장비 제조업,창호공사,부산 기장군 일광면일광로153,052-212-0095
고연호이스트,6211522334,도매 및 소매업,천장크레인,경상남도 양산시 용주로 3용당동 564-4 4호,052-261-8605
부산정수기,6170145442,도매 및 소매업,정수기,부산광역시 남구 유엔로 193(대연동),051-622-8354
성창과학상사,5040640675,전문 과학 및 기술 서비스업|건설업,도매 및 소매업,대구 북구 복현로36길14,053-382-4897
우공포럼건축사사무소,3012428834,제조업|전문 서비스업,건축사사무소,충청북도 청주시 청원구 충청대로 64-22층 (내덕동),043-250-5097
위드애드,5041373344,도매 및 소매업,사인물 및 인쇄물,대구광역시 중구 2·28길 301층,053-426-2131
제워디케이엔씨,1282735949,사업시설관리 및 사업지원 서비스업,유압구조장비세트,경남 창원시 의창구 사림로99번길 10-1(사림동),070-4111-7977
주식회사 다원산업,2968600681,기타 기계 및 장비 제조업,건물청소서비스,충청북도 제천시 세거리로 522층2호(신동),043-646-1006
주식회사 유한이엔지,7168601210,제조업,산업용로봇제조 (29280),대구광역시 달서구 성서공단로 332-211층,053-341-0125
준퍼니처,8422000023,건설업,철재가구임가공,충청북도 음성군 감곡면 가곡로 478-52,043-877-5622
합자회사태림,3158120343,건설업,구조물및건축물유지보수,충청북도 청주시 상당구 교동로 71(수동),043-256-7738
수성이앤지 주식회사,2248119706,건설업,상하수도설비공사,경기도 화성시 팔탄면 건달산로 106-3 ,031-352-9022
정석정보기술,3011784177,도매 및 소매업|제조업,정보통신공사,충청북도 청주시 상당구 용암북로44번길 47-101층 정석정보기술 (용암동),043-292-6400
주식회사  폴라리스,1258617594,도매 및 소매업|건설업,실험용집게,경기도 평택시 신대고잔길 10-61층 (신대동),031-656-6663
주식회사 한국장애인마이스기업,5098601330,그 밖의 제품 제조업,건축자재/안전용품,대구광역시 동구 동부로 2042층,053-801-8600
태성사,1211104968,고무제품 및 플라스틱제품 제조업,인쇄광고용역,인천광역시 동구 샛골로 107-2(금곡동),032-773-7308
한영공업사,5034264686,기타 제품 제조업,쓰레기봉투,대구광역시 달서구 호산로 5(파호동),053-581-7211
호암화구,1420431372,사업시설관리 및 사업지원 서비스업,회화용 캔버스 및 판넬,경기도 용인시 처인구 원삼면 원양로 78호암화구,031-338-8648
(주)우영알앤엠,1378104758,도매 및 소매업,건물청소서비스,서울특별시 금천구 가산디지털1로 131C동 1501호(가산동 비와이씨하이시티),02-866-7441
위드랩코리아,2241073239,그 밖의 모든 업종,주요의료기기유지보수,강원도 원주시 능라동길 75502호(무실동),033-733-0325
(자)대신전기,3078110859,건설업,전기공사용역,세종특별자치시  연서면 월하1길 29-2,044-865-8998
(주)청우산업개발,2298114972,건설업,건물청소서비스,경상북도 경산시 강변서로53길 15-5(정평동),053-801-8600
남양기업(주),6168172822,건설업,전기공사,제주특별자치도 제주시 삼무로3길 32-1 제주시 신산로11 (일도이동) 2층,064-722-5055
범형이엔지(주),5068147759,도매 및 소매업,건설지원용역,경상북도 포항시 북구 흥해읍 달전로85번길 22범형이엔지(주) ,054-254-9923
삼성의료기,6161794790,건설업,의료기기 과학기자재 외,제주특별자치도 제주시 남녕로 28-1,064-748-0087
신우엔지니어링(주),1228125504,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,기계설비,인천 연수구 비류대로433번길 3(연수동),032-468-6630
유한책임회사 수코리아,4748100267,하수ㆍ폐기물 처리 원료재생 및 환경 복원업,인쇄 정보통신및 기기 사무기기,제주특별자치도 제주시 정실3길 87-1단독 (오라이동),064-900-5230
주식회사 유공개발,5068162712,건설업,기타청소서비스,경북 포항시 남구 송도로35-1 (송도동),054-272-2829
주식회사 이레,1268192572,건설업,조경식재공사업위생관리용역나무병원업2종업조경공사,인천광역시 남동구 성말로44번길 11-11(구월동 3층),032-422-9068
태성개발(주),5088120120,도매 및 소매업,보링그라우팅.지하수개발이용시공업.지하수영향조사,경상북도 군위군 우보면 이화길 1571층,054-382-0772
티지에스정보기술,6162215713,건설업,데스크톱컴퓨터,제주특별자치도 제주시 도령로 131청원빌딩 2층 (연동),064-745-3582
(주) 신영정보기술,2068117262,사업시설관리 및 사업지원 서비스업,전력감시 및 제어장치,경기도 하남시 조정대로 150 하남아이테코 945호 (덕풍동),02-446-7464
(주) 씨앤에스,1278633907,사업시설관리 및 사업지원 서비스업,청소,경기도 동두천시 동두천로 9402호(송내동),031-857-5408
(주)범경시스템,6078138382,도매 및 상품 중개업,시설물경비서비스,부산광역시 해운대구 해운대로81번길 20-12층,051-327-4752
백강,3803800457,건설업,휴지외 펄프청소용품,경기도 안양시 만안구 태평로52번길 21마드리드상가 321호,031-464-9888
안산조경건설(주),1348125448,제조업,조경공사,경기 안산시 단원구 고잔로54 608호 (고잔동에이스타워),031-509-3911
킁킁펫,3684100442,사업시설관리 및 사업지원 서비스업,애견수제간식 제조업,경기도 부천시 부천로 284킁킁펫,070-4107-9687
(주)대화에스에스,5038167310,농업,건물 청소 및 경비용역업,대구광역시 수성구 범안로3안길 10 (범물동),053-782-1908
곤충의 꿈 스마트 팜,4919800692,도매 및 소매업,곤충,경상북도 안동시 서후면 태장가라골길 107-11안동시 서후면 태장리 491,054-854-5424
곤충희망농장,1309694568,도매 및 소매업,곤충사육,경상북도 안동시 서후면 태장가라골길 107-11안동시 서후면 태장리 491,054-854-4104
나무와 열매 곤충 스마트팜,2539200647,제조업,곤충사육,경상북도 안동시 서후면 태장가라골길 107-11안동시 서후면 태장리 491,054-853-8055
대구사인 현수막발전소,5041064728,제조업,간판,대구광역시 중구 명덕로 297,053-254-7977
동선인쇄사,8895000029,인쇄 및 기록매체 복제업,도서인쇄용역,울산광역시 남구 봉월로 661층 (신정동),052-266-3476
등불기획인쇄 주식회사,2438101089,종합 건설업,도서인쇄용역,전라북도 전주시 완산구 서원로 2002층 등불기획인쇄,063-224-5640
삼덕건설(주),5088110092,제조업,토목공사업,경상북도 의성군 금성면 위마길 49,053-421-5153
유한회사클린월드,4078122510,보건업 및 사회복지 서비스업,기타청소서비스,전라북도 순창군 순창읍 장류로 295-42층 ,063-652-7891
호남산업,1072454138,건설업|사업시설 관리 사업 지원 및 임대 서비스업,사출금형설계 및 제작,전라북도 전주시 완산구 홍산로 249대신타워 602호 장애인기업종합지원센터,063-224-8940
호산나안마원,4569600166,교육 서비스업,치료상담관련용역,전라북도 전주시 덕진구 안덕원로 252대영빌딩 4층 호산나안마원,063-243-7582
(주)태봉산업개발,4098618754,출판 영상 방송통신 및 정보서비스업,시설설비유지관리서비스,광주광역시 북구 경양로 511층 (임동),062-525-9577
상상놀이 체험교육,7659300958,제조업|도매 및 소매업,체험교육,경상북도 안동시 와룡면 문화마을1길 10,054-855-4133
세창출판사,1101825152,건설업,서적,서울특별시 서대문구 경기대로 88 냉천빌딩 4층 (냉천동),02-723-8660
스포트랙,1010633223,도매 및 소매업,골프공,서울특별시 종로구 명륜길 12(명륜1가 2층),02-3676-1040
와진건설(주),6108182939,정보통신업,석공사.실내건축공사.기술용역.건물위생관리업건물관리.위생관리용역업,울산광역시 울주군 범서읍 점촌6길 215층,052-238-2901
지디팩토리,1104713831,건설업,서적잡지조명기구및 장치 등,서울특별시 광진구 뚝섬로56길 35405호(자양동 그린아파트),02-455-2359
큰생각,4080483974,제조업,웹페이지편집소프트웨어,광주광역시 광산구 목련로 307-11,062-226-3570
(주) 우선건설,1358163300,예술 스포츠 및 여가관련 서비스업,실내건축공사,경기도 용인시 처인구 중부대로 14281428,031-321-9835
(주) 지룩스,1348714297,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,LED실내조명등,경기도 안산시 상록구 충장로 282(이동2층),031-495-9077
(주)제주친구,2698700857,제조업,여행관련용역,제주특별자치도 서귀포시 동홍로 1451층,064-9000-7000
바인텔레콤 (주),1238157275,사업 지원 서비스업|기타 개인 서비스업,네트워크스위치,경기도 안양시 만안구 전파로 53 (안양동),031-477-7800
서원디자인 ,1262756841,건설업,소파,경기도 광주시 오포읍 현곡길 39서원디자인,031-768-5221
에스제이(SJ)수다,3640601069,기타 기계 및 장비 제조업,기타행사기획및대행서비스,경기도 파주시 월롱면 쉰우물길 13-15,070-4464-8081
에스제이골프건설,6161484156,사업시설관리 및 사업지원 서비스업,골프연습장시설물설치,제주특별자치도 제주시 미리내길 4에스제이골프건설,064-755-3301
주식회사 리코시스템,8548101031,제조업|도매 및 소매업|달리 분류되지 않은 자가 소비를 위한 가구의 재화 및 서비스 생산활동,냉각기,경기도 화성시 양감면 제약단지로 237-54주식회사 리코시스템,02-6012-1044
주식회사 에스캅시큐리티,1408165810,건설업,건물청소서비스,경기도 시흥시 봉우재로 30(정왕동)202호,031-499-4924
주식회사 지앤디글로벌(GND GLOBAL Corp.),2948600332,건설업,서류가방,경기도 하남시 조정대로 150627호(덕풍동 아이테코),070-7862-5703
(주)광야건설,5718100137,건설업,토공사업,충청북도 청주시 상당구 미원면 단재로 2804(광야건설),043-218-6011
(주)디앤디건설,3178122288,제조업|도매 및 상품 중개업,시설물유지관리업,충청북도 청주시 상당구 미원면 단재로 2804(중리),043-218-6010
기풍조경주식회사,2228125139,건설업,수목재배용역,인천광역시 남동구 호구포로744번길 57 (구월동 2층1호),032-471-4811
네이처텍(Nature Tech),1244456293,제조업,부품임가공 및 공구류 소모품,충청남도 태안군 원북면 원이로 817-4네이처텍 101호,041-675-9003
삼도전력공사,1370653500,제조업|기타 제품 제조업,전기공사용역,인천광역시 서구 서곶로 2682층(심곡동 삼도개발),032-572-6784
성화금속주식회사,1478601321,제조업,알루미늄난간휀스 제조,충청북도 옥천군 옥천읍 마암로3길 41성화금속,042-733-8445
승리산업,1282744303,건설업,자재가공용역,인천광역시 서구 봉수대로1545번길 8좌측 첫번째(승리산업),032-563-5570
인프라인,1220277287,비금속 광물제품 제조업,소파,인천광역시 서구 두밀로 132(대곡동),032-566-9040
주식회사 왕도지엔비,1318143923,가죽 가방 및 신발 제조업,건설업/설비공사 가스시설시공업제1종,인천광역시 연수구 송도미래로 30에이동 1907호(송도동 송도 BRC 스마트밸리 지식산업센터),032-822-3002
중부철망,3020544398,출판 영상 방송통신 및 정보서비스업,용접철망,충청북도 보은군 보은읍 병원용암길 134,043-543-1687
포시즌상사,1222974083,도매 및 소매업,장애인 보장구,인천광역시 부평구 안남로409번길 6(청천동 1층),032-504-1815
(주)붐커뮤니케이션,2208700833,제조업,출판 영상 방송통신 및 서비스업,서울특별시 강남구 언주로148길 14 다동 3층 (논현동),02-512-6763
국제상사,1062962983,도매 및 상품 중개업,민방위복,서울특별시 종로구 종로36나길 6(종로5가),02-798-1587
이지엠피엠,6926800245,도매 및 소매업,주차기,인천광역시 남동구 남동대로215번길 307층 711-13호(고잔동인천종합비즈니스센터),070-7012-3898
주식회사 가온인터내셔널,8828800884,폐기물 수집 운반 처리 및 원료 재생업,점토 원료 판매업,서울특별시 종로구 진흥로 439403호(구기동 인왕빌딩),02-391-9900
주식회사 나눔의기적,3848101250,건설업,과일류,서울특별시 송파구 법원로 127703호(문정동),02-406-7079
주식회사 명보,3628800599,건설업,사업장생활계폐기물수집운반업 생활폐기물수집운반업,제주특별자치도 제주시 해안마을북길 33(해안동),064-745-8272
주식회사 케이앤디(K&D Co.Ltd),4258100514,도매 및 소매업,금속구조물.창호공사업,부산광역시 부산진구 동평로44번길 201층(당감동),051-898-2003
(주)나루무선,2228127461,제조업,정보통신공사업,강원도 삼척시 원당로1길 13-13(원당동) 나루,033-575-0485
꽃길 플라워,2980101073,건설업,생화공기정화식물조화인테리어소품,경기도 고양시 일산서구 호수로 817홈플러스 지하1층 꽃길플라워,031-921-8254
샤코,1281582906,목재 및 나무제품 제조업(가구 제조업 제외),인테리어 내장재 가구임가공,경기도 파주시 광탄면 장지산로31번길 126,031-943-3339
원진전기,2240666712,건설업,전기공사업,강원도 원주시 소초면 치악로 2384104호,033-765-1479
주식회사 나무나라,2228130025,제조업,고열처리목재 데크 및 휀스,강원도 태백시 계산11길 661층,033-581-5654
주식회사 서희전기,2268148468,건설업,전기공사용역,강원도 강릉시 강변로 520-6(입암동),033-652-4228
하나로(강원도기능장애인재활자립장),2211177761,제조업,전자출판 인쇄 현수막 기념품,강원도 춘천시 효평길 87-1후평동 (후평동),033-251-5859
(주) 티와이,1348650923,사업시설관리 및 사업지원 서비스업,습식방수공사업 시설물유지관리업,경기도 안산시 상록구 영화5길 19(사동),031-411-9735
(주)에이블월드,3058619790,전문 과학 및 기술 서비스업,린넨섬유가공,대전광역시 대덕구 한남로67번길 9101호(한남빌리지) (오정동),042-716-1111
(주)에코텍,5278100426,사업시설관리 및 사업지원 서비스업,시설물유지관리,세종특별자치시 장군면 장기초교길 15(주)에코텍,044-867-0423
건축사사무소 동안,3142288469,고무제품 및 플라스틱제품 제조업,건축설계 및 관련 서비스업(건축사),대전광역시 유성구 온천로 59동아벤처타워 1202호 (봉명동),042-487-8223
동양엘리베이터주식회사,6038600900,건설업,승강기유지보수서비스,경기도 화성시 팔탄면 하저길 75,031-356-5420
벧엘비닐화학,3141860620,사업시설관리 및 사업지원 서비스업,폴리에틸렌필름,대전광역시 유성구 진잠로124번길 5-22(원내동),042-544-8880
시방건설 주식회사,1268182356,도매 및 소매업,지하수개발 상하수도설비 토공사,경기도 이천시 경충대로2481번길 135(진리동) 시방건설,031-635-0892
아이씨씨(주),3148641879,정보서비스업|영상ㆍ오디오 기록물 제작 및 배급업|출판업,위생관리용역,대전광역시 서구 벌곡로 1349(가수원동),042-364-8228
어울림,7786600206,제조업,도서인쇄용역,세종특별자치시 조치원읍 충현로 73-1어울림,044-864-1089
열정아이티(FERVOR IT),2673900393,전기 가스 증기 및 수도사업|전문직별 공사업|전기 가스 증기 및 공기 조절 공급업,데이터베이스관리소프트웨어,충청남도 홍성군 홍성읍 대학길 25203호(청운대학교 창업보육센터),041-634-1012
이에스테크주식회사,7238100214,도매 및 소매업,금속 및 비금속 가공 및 도장업 피난사다리,충청남도 아산시 신창면 학성로 102이에스테크주식회사,041-532-7744
인정에너지,3121666740,건설업,전문건설 도시가스 시설공사 및 LPG가스 집단공급,충청남도 아산시 번영로216번길 34아산시모종동581-4(모종동),041-546-5594
주식회사 엠엔티켐텍,7298700951,사업시설관리 및 사업지원 서비스업,소석회,경기도 안산시 단원구 광덕1로 1651동 811호(고잔동 동남레이크빌 1),031-495-4954
주식회사 처음처럼,1598800902,제조업,도장/도배공사업,경기도 성남시 중원구 마지로155번길 42102호(하대원동),031-758-3851
(주) 청소하는 마을,5028609326,도매 및 소매업,건물청소서비스,대구광역시 수성구 지범로31길 33-18(지산동),053-766-8234
(주)디케이코리아,5038186976,제조업,애완동물용배변패드,대구광역시 달서구 성서로71길 46(이곡동),053-593-8808
(주)빅보이물류,6068661930,사업시설관리 및 사업지원 서비스업,청량음료,부산광역시 사상구 백양대로 425(주례동),051-896-8482
(주)지랜드피씨,6578100348,금속 가공제품 제조업; 기계 및 가구 제외|도매 및 소매업,조립식철근콘크리트암거블록,부산광역시 금정구 청룡예전로96번길 16(청룡동),051-714-3955
(주)힐링나무병원,1228800536,도매 및 소매업,건물청소서비스,전라남도 순천시 자경1길 46상가동101호,061-743-8023
신성TS,5443400276,사업시설관리 및 사업지원 서비스업,기계부품,전라남도 광양시 중마중앙로 181중동,061-793-0949
청수상사,5041450917,제조업,정수기.공기청정기.비데.제빙기.자판기.건조기.제습기.생수.커피,대구광역시 달서구 야외음악당로 1591층.,053-523-0001
한국시스템(주),4168178487,사업시설관리 및 사업지원 서비스업,건물청소서비스,전라남도 순천시 율산3길 110(연향동),061-741-5056
호두나무장애인보호작업장,5408001213,사업시설관리 및 사업지원 서비스업|사업 지원 서비스업,화장비누,대전광역시 중구 유천로 27-21유천동,070-7806-4557
(주)브엘세바,1348177169,도매 및 소매업,시설물경비서비스,충청남도 금산군 진산면 실학로 529번지,042-536-1067
(주)제이케이맨파워,8188600313,건설업,용역도급 조경위탁,대전광역시 중구 대종로 696(중촌동) 지하1층,042-385-7233
(주)호텔산업,2958800886,출판 영상 방송통신 및 정보서비스업|영상ㆍ오디오 기록물 제작 및 배급업,호텔용품및 청소용역,제주특별자치도 서귀포시 중문관광로301번길 3오션힐스 지하101호 (대포동),064-747-2535
(주)엘씨케이,4168192820,인쇄 및 기록매체 복제업,정보통신공사,전라남도 순천시 덕암새터길 24(덕암동),061-727-0050
나인포토,8745400011,전기 가스 증기 및 수도사업,사진영상광고SNS홍보,경기도 안양시 동안구 동안로 28010동 809호,031-385-2769
대동문화사,1241329716,가구 제조업,정기간행물,경기도 수원시 팔달구 향교로 83 정한빌딩 2층 208호 (매산로3가),031-244-1416
대산계전 주식회사,1298187118,전문 과학 및 기술 서비스업,전기공사업,경기도 성남시 수정구 공원로 3602층215호(신흥동두산종합상가),031-735-6646
스쿨디자인(유),4028177140,도매 및 소매업,컴퓨터책상,전라북도 완주군 상관면 춘향로 4413307-7,063-284-2985
아이삭컴퍼니,1102098416,건설업,디자인 기업광고물기획 출판사 옥외광고물 제작시공설치  잡화 무대시설 및 장비,경기도 부천시 부천로 282신양빌딩 4층 (도당동),032-224-0087
엠제이클리닝,3430201235,제조업,기타청소서비스,전라북도 무주군 무주읍 주계로 107B1,063-322-3969
유한회사 태영개발,4028188671,도매 및 소매업,기계설비공사,전라북도 전주시 덕진구 아중로 194301호 (우아동1가),063-226-9563
케이피(K.P)테크,2742800075,건설업,반도체장비부품LCD장비부품,경기도 화성시 장안면 산운내길 48-1,031-358-1774
푸른의수족,4030839146,예술 스포츠 및 여가 관련 서비스업,의지보조기제작,전북 익산시 왕궁면왕궁로 146,063-291-1147
(주)제이아이디,1238700605,그 밖의 모든 업종,실내건축공사,서울특별시 금천구 가산디지털1로 171508호 (가산동 가산 에스케이 브이원 센터),02-577-9595
가별 우드 아트텍,1419034627,건설업,목 공예품 디자인 및 제조,인천광역시 남동구 만월북로44번길 9(간석동 1층),032-511-7736
매직프린트,2082264293,인쇄 및 기록매체 복제업,인쇄광고용역,서울특별시 노원구 한글비석로 3841동 2층 230호(중계동 대호프라자),02-934-6760
백승개발주식회사,5108117273,인쇄 및 기록매체 복제업,전기공사,경상북도 경산시 대평길1길 1-61층 (대평동),053-767-4747
삼우인쇄소,1210160170,건설업,디지털인쇄기,인천광역시 연수구 청명로17번길 5 (청학동 2층전체),032-818-0666
장원문화인쇄,1216162380,보건업 및 사회복지 서비스업,오프셋인쇄기,인천광역시 미추홀구 인주대로23번길 35(숭의동),032-881-4944
주식회사 장군이건설,5088140373,사업시설관리 및 사업지원 서비스업,창호공사,경상북도 군위군 군위읍 동서길 89-431층,054-383-6122
참손길지압안마원,1149568659,육상 운송 및 파이프라인 운송업,보건정책행정용역,서울특별시 금천구 가산디지털1로 1712층 206호(가산동 가산 에스케이 브이원 센터),02-6956-3175
(주)그린존,3148178371,그 밖의 제품 제조업,시설설비유지관리서비스,대전광역시 유성구 유성대로821번길 31해성주택 101호,042-822-3610
(주)길벗여행사,1308640059,사업시설관리 및 사업지원 서비스업|전문 서비스업,공공기관통근운송서비스,인천광역시 부평구 평천로 398501호 (삼산동 에스엠 메디칼 프라자),032-555-1144
(주)매그나텍,4088168519,건설업,철제가로등주,전라남도 장성군 동화면 전자농공단지2길 55,061-392-5508
대한티이씨(주),6058156900,건설업,전염병예방및통제용역,부산광역시 사하구 동매로9번길 203층(하단동) (하단동),051-203-5719
덕원건설(주),5048182876,도매 및 소매업|전자 부품 컴퓨터 영상 음향 및 통신장비 제조업,포장공사업,대구광역시 북구 칠곡중앙대로 5323층,053-313-4822
동도건설주식회사,6168128670,제조업,조경식재공사업外,제주특별자치도 서귀포시 일주서로 106,064-725-7792
동양컴퓨터상사,6161670700,전문 서비스업,컴퓨터및주변기기설치,제주특별자치도 제주시 사장2길 14(연동),064-721-3824
삼하어패럴,4071500923,건설업,중증장애인기저귀.물티슈.화장지.탈취방향제등,부산광역시 동구 정공단로 38지하1층공장 (좌천동),051-639-7900
클린에어존,1600400902,제조업|전문 과학 및 기술 서비스업,에어컨청소,부산광역시 수영구 남천동로 204층,051-628-9188
통도종합건설주식회사,6168132873,운수 및 창고업,토목,제주특별자치도 제주시 용두암길 182층,064-725-7791
리오디자인 주식회사,2918101040,건설업,경인쇄업 외 디자인,경상북도 경산시 화랑로 1701층,053-517-7027
일월운수,5032368890,도매 및 소매업|사업시설 관리 사업 지원 및 임대 서비스업,살수차,경상북도 고령군 대가야읍 정정골길 67-27일월운수,053-593-9211
주식회사 건우,5158153070,도매 및 소매업,금속구조창호공사업,경상북도 청도군 화양읍 송북2길 6-20 ,054-371-7666
청우청소과학체육사,3110777029,도매 및 소매업,건물청소서비스,충청남도 예산군 예산읍 예산로176번길 4,041-335-3412
(주)나아짐코리아,4568601389,도매 및 소매업,의료장비,부산광역시 해운대구 마린시티2로 213121313호,051-624-0588
동진표지판,2210575554,기타 개인 서비스업,기념품,강원도 춘천시 신북읍 율문길 89,033-244-9804
수우정보,1171424869,인쇄 및 기록매체 복제업,전기전자용품,서울특별시 양천구 목동중앙로 97106호(목동 청우빌딩 1층),02-2649-5011
청솔플레이랜드,5112000852,전문 과학 및 기술 서비스업,실내외놀이터,강원도 동해시 청운로 69-5,033-522-0889
디자인현,6092488890,전기장비 제조업,기타인쇄물,경상남도 창원시 성산구 외동반림로126번길 30(중앙동),055-289-8999
주식회사 세한소방,6158192034,제조업,소방관련용역,경상남도 김해시 삼안로77번길 142층,055-321-0119
주식회사 이세이빙,6178187274,교육 서비스업,엘이디조명기구,경상남도 함안군 칠서면 태곡3길 19(주)이세이빙,055-587-5154
태륭산업기계,6211661805,그 밖의 모든 업종,특수차량부품(전차장갑차부속),경상남도 양산시 북정공단1길 13,055-385-3126
(주)예일앤힐링가든,7328601279,농업,언어교육 관련 용역,경기도 성남시 분당구 성남대로331번길 8320호 (정자동),031-717-3663
그린벧엘석유,4160439713,건설업,석유등,전라남도 순천시 풍덕6길 411278-2,061-743-8022
봉선화농원,3609000470,운수업,농산물및 농산물가공,충청남도 아산시 남부로8번길 8방축동450번지,041-548-3089
에이스조경,6162848967,제조업,조경식재,제주 제주시 오라로 136 2층(오라일동),064-702-1359
(유)대부관광여행사,4048101118,제조업,여행관련용역,전라북도 고창군 고창읍 중앙로 199(유)대부관광여행사,063-564-2222
덕산엔지니어링주식회사,4048102155,제조업,제진기,전라북도 정읍시 고부면 고부농단길 29,063-536-5010
마이문화당,4021273212,출판 영상 방송통신 및 정보서비스업,상장케이스 인쇄후가공,전라북도 전주시 완산구 현무2길 14-151층,063-288-8810
전통자수예다움,4040847106,제조업,공예-전통자수,전라북도 정읍시 수성택지1길 3수성동962-13,063-532-8185
(주)이너인포,1138629762,출판 영상 방송통신 및 정보서비스업|전문 과학 및 기술 서비스업,방화벽장치,서울특별시 구로구 디지털로33길 48805호806호 (구로동 대륭포스트타워7차),02-6942-9404
(주)이례테크,2208193738,도매 및 소매업,기타인쇄물,서울특별시 서초구 신반포로41길 18 태연빌딩 지층 (잠원동),02-511-8575
수퍼비글로벌디자인그룹 주식회사,8518600192,출판 영상 방송통신 및 정보서비스업,산업디자인,서울특별시 서초구 동산로 23베델회관 7층 (양재동),02-574-8777
유엔아이,1130154435,사업시설관리 및 사업지원 서비스업,컴퓨터및주변기기설치,서울특별시 서초구 방배로27길 27지층 102호(방배동 동우빌딩) (방배동),02-583-0621
주식회사 비아이렙,3358100676,건설업,광고대행용역,서울특별시 서초구 강남대로37길 56-183층(서초동에메랄드빌딩),070-7411-2003
주식회사 시테크,6108630305,전문 과학 및 기술 서비스업,시설경비 청소용역 건물빌딩관리,울산광역시 남구 봉월로 583층 (신정동 은월빌딩),070-8249-3851
(주)나라,1258128437,건설업,철물공사,경기도 안성시 중앙로371번길 64 (연지동),031-676-1430
(주)무림전기,1288623829,도매 및 소매업,전기안전대행용역,경기 고양시 덕양구 화정동효원빌딩 507호(화중로 32-31),031-903-8511
(주)지오디자인,3018613208,사업시설관리 및 사업지원 서비스업,실내건축공사업,충청북도 청주시 서원구 신화로36번길 32303호 (성화동),043-235-4774
나무오피스,3170441057,전기 가스 증기 및 공기 조절 공급업,기타인쇄물,충청북도 청주시 흥덕구 오송읍 오송생명로 208-8일심빌딩 2층 202호,043-235-4534
다흰,3343800226,출판 영상 방송통신 및 정보서비스업,건뭉위생관리업건물시설관리용역업,경기도 수원시 권선구 곡선로50번길 14-20101호(곡반정동),031-236-0095
동신전기,1321371758,건설업,전기공사용역,경기도 양평군 양동면 양동시장길 5,031-771-1161
디자인에스에프,1243554105,제조업,정기간행물,경기도 수원시 권선구 매송고색로676번길 2(고색동 389-10),031-278-1511
미도건설,1170186128,금속가공제품 제조업(기계 및 가구 제조업 제외),차선도색,경기도 부천시 성지로 66303호(고강동 하나빌딩) (고강동),032-672-8718
성종사,1352367515,도매 및 소매업,범종,충청북도 진천군 덕산면 습지길 35성종사 ,02-733-6141
솔로몬산업(주),1388134328,그 밖의 기계 및 장비 제조업|전기장비 제조업,방음벽및방음판,경기도 안양시 동안구 관악대로 456 서건빌딩 502호 (관양동),031-424-1600
심상현의 스토어,5353000143,도매 및 소매업,인화지,경기도 부천시 원미구 상일로 711822동 102호(상동 반달마을 선경아파트),032-224-8671
